county,pop_2022,log_population,pct_pov_2021
Autauga County,59759,10.99807509,10.7
Baldwin County,246435,12.41485355,10.8
Barbour County,24706,10.11480141,23
Bibb County,22005,9.999024979,20.6
Blount County,59512,10.99393325,12
Bullock County,10202,9.230339058,32.1
Butler County,18650,9.833601425,22.7
Calhoun County,115788,11.65951621,19.2
Chambers County,34088,10.4367007,19.7
Cherokee County,25302,10.13863872,18.2
Chilton County,45884,10.73387175,15.5
Choctaw County,12439,9.428591977,23.3
Clarke County,22515,10.02193703,19.4
Clay County,14198,9.560856389,18.4
Cleburne County,15346,9.638610133,15
Coffee County,54805,10.91153671,15.9
Colbert County,58033,10.96876709,16.5
Conecuh County,11206,9.324204628,22.4
Coosa County,10166,9.226804098,17.1
Covington County,37602,10.53481252,19.8
Crenshaw County,13025,9.474625867,17.5
Cullman County,90665,11.41492667,13.5
Dale County,49544,10.81061644,15.7
Dallas County,36767,10.51235598,29.5
DeKalb County,71998,11.18439362,19.4
Elmore County,89563,11.40269757,12
Escambia County,36666,10.50960517,23.8
Etowah County,103088,11.54333827,17.4
Fayette County,16118,9.687691939,19.6
Franklin County,31932,10.37136392,18.9
Geneva County,26783,10.19552264,21.1
Greene County,7422,8.912203842,33.2
Hale County,14595,9.588434283,22.1
Henry County,17655,9.778774308,15.6
Houston County,108079,11.59061772,19.1
Jackson County,52891,10.87598847,18.9
Jefferson County,665409,13.40815717,16.9
Lamar County,13705,9.525516009,17
Lauderdale County,95878,11.47083183,16.2
Lawrence County,33214,10.41072675,13.9
Lee County,180773,12.10499738,18
Limestone County,110900,11.61638417,9.9
Lowndes County,9777,9.187787968,28.3
Macon County,18516,9.826390502,27.5
Madison County,403565,12.90809284,10.2
Marengo County,18745,9.838682329,24.6
Marion County,29156,10.280416,18.3
Marshall County,99423,11.50713875,15.6
Mobile County,411411,12.92734799,18.2
Monroe County,19404,9.873234509,22.3
Montgomery County,226361,12.32988635,21.7
Morgan County,124211,11.72973701,13.5
Perry County,8035,8.991562278,33.7
Pickens County,18697,9.836118362,21.1
Pike County,33014,10.40468699,23.9
Randolph County,22479,10.02033682,21.5
Russell County,58555,10.97772176,21.7
St. Clair County,93932,11.4503264,12.8
Shelby County,230115,12.34633446,7.7
Sumter County,11853,9.380336279,35.1
Talladega County,80704,11.29854342,19.1
Tallapoosa County,40977,10.62076621,18.3
Tuscaloosa County,236780,12.37488672,14.7
Walker County,64339,11.07192126,20.2
Washington County,15122,9.623905916,20.6
Wilcox County,10059,9.216223035,32.4
Winston County,23755,10.07554831,19
Aleutians East Borough,3398,8.130942302,18.4
Aleutians West Census Area,5122,8.541300267,10.4
Anchorage Municipality,287145,12.56774259,9.5
Bethel Census Area,18257,9.812303847,24.6
Bristol Bay Borough,865,6.762729507,11.3
Chugach Census Area,6874,8.835501457,7.7
Copper River Census Area,2589,7.85902698,14.3
Denali Borough,1585,7.368339686,7.5
Dillingham Census Area,4723,8.46019947,21.8
Fairbanks North Star Borough,95356,11.46537254,7.9
Haines Borough,2056,7.628517627,10.8
Hoonah-Angoon Census Area,2287,7.734996194,17
Juneau City and Borough,31685,10.36359866,7.6
